iter	Passed	Remaining
0	0	12
1	0	11
2	0	11
3	0	10
4	0	10
5	0	10
6	0	10
7	0	10
8	0	9
9	1	9
10	1	9
11	1	9
12	1	9
13	1	9
14	1	9
15	1	9
16	1	8
17	1	8
18	2	8
19	2	8
20	2	8
21	2	9
22	2	9
23	2	9
24	3	9
25	3	8
26	3	8
27	3	8
28	3	8
29	3	8
30	3	8
31	4	8
32	4	8
33	4	8
34	4	8
35	4	8
36	4	8
37	4	8
38	4	7
39	5	7
40	5	7
41	5	7
42	5	7
43	5	7
44	5	6
45	5	6
46	5	6
47	5	6
48	6	6
49	6	6
50	6	6
51	6	5
52	6	5
53	6	5
54	6	5
55	6	5
56	6	5
57	7	5
58	7	4
59	7	4
60	7	4
61	7	4
62	7	4
63	7	4
64	7	4
65	7	4
66	8	3
67	8	3
68	8	3
69	8	3
70	8	3
71	8	3
72	8	3
73	8	3
74	8	2
75	8	2
76	9	2
77	9	2
78	9	2
79	9	2
80	9	2
81	9	2
82	9	1
83	9	1
84	9	1
85	10	1
86	10	1
87	10	1
88	10	1
89	10	1
90	10	1
91	10	0
92	10	0
93	10	0
94	11	0
95	11	0
96	11	0
97	11	0
98	11	0
99	11	0
